codigo_iso,pais,regiones_anio,regiones_dias_con_heladas,regiones_eventos_extremos,regiones_humedad_relativa_promedio,regiones_indice_aridez,regiones_meses_estres_hidrico,regiones_nombre,regiones_precipitacion_total,regiones_temperatura_maxima,regiones_temperatura_minima,regiones_temperatura_promedio
AUS,Australia,2018,18,"",54,9.34,4,Wheatbelt,632,28.3,5,18.8
AUS,Australia,2013,42,"",52,23.42,4,Wheatbelt,1315,21.2,"8,8",15.6
AUS,Australia,2020,56,helada_tardia,68,26.16,3,Wheatbelt,1620,31,"7,6",17.2
AUS,Australia,2019,58,helada_tardia,42,19.89,0,Wheatbelt,1124,25,"7,7",15.7
AUS,Australia,2015,119,incendios,79,15.27,1,Queensland Coast,1198,34.4,"11,9",21.8
AUS,Australia,2020,56,incendios,68,26.16,3,Wheatbelt,1620,31,"7,6",17.2
AUS,Australia,2015,87,inundacion,67,16.69,4,Murray-Darling Basin,1466,36.1,"10,6",24.4
AUS,Australia,2015,119,inundacion,79,15.27,1,Queensland Coast,1198,34.4,"11,9",21.8
AUS,Australia,2011,100,inundacion,82,10.64,1,Queensland Coast,912,34.5,"9,3",23.8
AUS,Australia,2020,56,inundacion,68,26.16,3,Wheatbelt,1620,31,"7,6",17.2
AUS,Australia,2017,115,ola_calor,77,6.89,3,Queensland Coast,595,32.6,"9,9",24
AUS,Australia,2014,8,ola_calor,83,9.05,7,Wheatbelt,684,35.6,"15,4",21
AUS,Australia,2018,20,sequia_extrema,66,9.61,6,Queensland Coast,796,29.2,"8,9",23
AUS,Australia,2012,44,sequia_extrema,51,24.17,2,Wheatbelt,1601,32,"10,9",18.4
AUS,Australia,2014,8,sequia_extrema,83,9.05,7,Wheatbelt,684,35.6,"15,4",21
AUS,Australia,2016,42,sequia_severa,43,9.71,3,Queensland Coast,762,26.9,"8,2",21.8
AUS,Australia,2018,20,sequia_severa,66,9.61,6,Queensland Coast,796,29.2,"8,9",23
AUS,Australia,2011,100,sequia_severa,82,10.64,1,Queensland Coast,912,34.5,"9,3",23.8
AUS,Australia,2014,8,sequia_severa,83,9.05,7,Wheatbelt,684,35.6,"15,4",21
AUS,Australia,2018,20,tormenta_severa,66,9.61,6,Queensland Coast,796,29.2,"8,9",23
AUS,Australia,2011,100,tormenta_severa,82,10.64,1,Queensland Coast,912,34.5,"9,3",23.8
BRA,Brasil,2013,113,"",56,14.98,3,Amazonía,1127,26.6,"11,7",20.9
BRA,Brasil,2015,13,"",47,12.8,4,Amazonía,1055,34.2,"13,5",22.9
BRA,Brasil,2017,37,"",61,11.06,6,Amazonía,665,29.2,"4,1",16.7
BRA,Brasil,2019,95,"",49,9.26,6,Amazonía,560,28.9,"5,1",16.8
BRA,Brasil,2012,0,"",44,6.3,7,Amazonía,404,25.2,"5,6",17.8
BRA,Brasil,2014,37,"",43,6.06,6,Amazonía,471,31,"8,3",21.6
BRA,Brasil,2017,49,"",46,6.21,6,Cerrado,519,34.8,"11,4",23.2
BRA,Brasil,2016,20,"",68,8.41,6,Cerrado,651,34.1,"13,6",21.5
BRA,Brasil,2015,81,"",83,21.82,2,Cerrado,1249,27.2,"4,3",15.9
BRA,Brasil,4031,169,"",120,44.6,6,Cerrado,2394,55.3,6,31.8
BRA,Brasil,2011,44,"",75,7.6,10,Cerrado,484,32.4,"6,4",17.7
BRA,Brasil,2019,99,"",68,21.69,4,Mata Atlántica,945,21.4,"'-1,9",12.1
BRA,Brasil,2014,42,"",46,18.68,2,Mata Atlántica,1486,33.7,"13,1",22.1
BRA,Brasil,2015,66,"",76,10.41,3,Mata Atlántica,712,33.7,"13,4",19
BRA,Brasil,2017,7,"",59,7.86,3,Mata Atlántica,679,38.1,"17,7",24
BRA,Brasil,2016,5,"",51,12.6,4,Mata Atlántica,653,21.7,"2,2",14.4
BRA,Brasil,2011,109,"",77,15.33,1,Mata Atlántica,916,31.3,"5,2",16.6
BRA,Brasil,2012,1,"",64,17.54,4,Mata Atlántica,1086,27,"7,4",17.2
BRA,Brasil,2020,80,"",71,15.4,2,Mata Atlántica,1109,32.5,9,20
BRA,Brasil,2016,101,helada_tardia,55,14.25,6,Amazonía,677,24.8,"6,8",13.2
BRA,Brasil,2018,60,helada_tardia,45,11.73,3,Mata Atlántica,587,20.9,"7,7",13.9
BRA,Brasil,2011,59,incendios,51,6.31,11,Amazonía,445,30.6,"4,7",19.6
BRA,Brasil,2013,77,incendios,64,19.53,1,Cerrado,865,21.1,"1,9",12.3
BRA,Brasil,2020,119,incendios,70,18.61,2,Cerrado,1253,30.9,"11,3",18.7
BRA,Brasil,2013,107,inundacion,40,4.82,9,Mata Atlántica,333,28.8,"5,1",19.2
BRA,Brasil,2018,72,sequia_extrema,63,8.65,4,Amazonía,629,30.4,"14,9",20.2
BRA,Brasil,2014,70,sequia_extrema,65,4.6,12,Cerrado,396,36.7,"11,6",23.9
BRA,Brasil,2018,73,sequia_extrema,78,10.53,7,Cerrado,701,29.7,"3,5",18.5
BRA,Brasil,2013,107,sequia_extrema,40,4.82,9,Mata Atlántica,333,28.8,"5,1",19.2
BRA,Brasil,2020,33,sequia_moderada,40,6.44,4,Amazonía,519,33.2,"15,9",22.4
BRA,Brasil,2011,59,sequia_severa,51,6.31,11,Amazonía,445,30.6,"4,7",19.6
BRA,Brasil,2013,107,sequia_severa,40,4.82,9,Mata Atlántica,333,28.8,"5,1",19.2
BRA,Brasil,2011,59,tormenta_severa,51,6.31,11,Amazonía,445,30.6,"4,7",19.6
BRA,Brasil,2013,77,tormenta_severa,64,19.53,1,Cerrado,865,21.1,"1,9",12.3
BRA,Brasil,2014,70,tormenta_severa,65,4.6,12,Cerrado,396,36.7,"11,6",23.9
CHN,China,2019,102,"",63,21.11,3,Región Principal,950,25,"0,4",12.5
CHN,China,4028,61,"",112,10.61,17,Región Principal,922,70.8,"10,5",48.3
CHN,China,2013,24,"",47,10.66,1,Región Principal,860,37,"14,2",22.4
CHN,China,2015,17,"",65,27.09,1,Región Principal,1229,24.8,"2,3",12.6
CHN,China,2018,52,"",52,19.76,6,Región Principal,619,19.3,"'-6,3",8.7
CHN,China,2011,40,"",54,13.35,2,Región Principal,817,25.5,"6,6",17
CHN,China,2014,25,"",44,20.5,4,Región Principal,1424,26.1,"8,1",19.3
CHN,China,2020,31,helada_tardia,84,12.29,1,Región Principal,956,29.8,"8,3",21.6
CHN,China,2017,18,inundacion,53,6.15,7,Región Principal,372,30.6,"7,4",16.8
CHN,China,2020,31,sequia_severa,84,12.29,1,Región Principal,956,29.8,"8,3",21.6
CHN,China,2017,18,tormenta_severa,53,6.15,7,Región Principal,372,30.6,"7,4",16.8
CHN,China,2020,31,tormenta_severa,84,12.29,1,Región Principal,956,29.8,"8,3",21.6
DEU,Alemania,2015,100,"",64,14.68,6,Región Principal,555,24.8,0,10.5
DEU,Alemania,2013,3,"",68,17.81,4,Región Principal,731,21.5,"'-1,7",11.4
DEU,Alemania,2011,72,"",76,24.86,0,Región Principal,886,18.2,"1,8",9.9
DEU,Alemania,2020,39,"",45,9.96,3,Región Principal,739,30.9,"15,2",20.6
DEU,Alemania,2019,61,"",75,7.98,6,Región Principal,626,27,"15,8",21.8
DEU,Alemania,2012,116,"",83,7.69,10,Región Principal,404,21.8,"6,1",14.6
DEU,Alemania,2017,83,"",82,26.34,4,Región Principal,1574,22.6,"6,4",16.6
DEU,Alemania,2016,5,"",65,6.76,7,Región Principal,411,31.5,7,16.9
DEU,Alemania,2018,57,"",48,17.48,4,Región Principal,944,26.4,"7,2",15
DEU,Alemania,2014,115,ola_calor,50,21.53,2,Región Principal,1589,32.3,"9,6",20.5
DEU,Alemania,2014,115,sequia_severa,50,21.53,2,Región Principal,1589,32.3,"9,6",20.5
FRA,Francia,2020,71,"",43,27.92,4,Región Principal,1387,21.4,0,13.8
FRA,Francia,2017,93,"",71,10.68,4,Región Principal,588,28.7,10,15.3
FRA,Francia,2015,52,"",72,17.35,2,Región Principal,1455,31.6,"12,6",23.3
FRA,Francia,2011,29,"",78,15.57,3,Región Principal,1160,31.1,"14,7",20.7
FRA,Francia,2019,25,"",65,5.68,8,Región Principal,452,32.1,"15,3",22.1
FRA,Francia,2018,17,"",70,8.86,9,Región Principal,418,26.1,"4,3",13.1
FRA,Francia,2014,97,"",85,24.77,0,Región Principal,1302,26.7,"4,7",14.6
FRA,Francia,2012,79,"",69,15.54,3,Región Principal,1186,28.9,"7,8",21.2
FRA,Francia,2016,67,helada_tardia,44,19.18,0,Región Principal,877,25.4,7,12.7
FRA,Francia,2016,67,ola_calor,44,19.18,0,Región Principal,877,25.4,7,12.7
FRA,Francia,2013,87,sequia_moderada,44,21.95,2,Región Principal,1209,25.1,"3,2",15.3
FRA,Francia,2016,67,sequia_moderada,44,19.18,0,Región Principal,877,25.4,7,12.7
FRA,Francia,2013,87,tormenta_severa,44,21.95,2,Región Principal,1209,25.1,"3,2",15.3
IND,India,2017,44,"",42,5.96,10,Deccan,416,28.6,"10,5",19.4
IND,India,2013,107,"",57,6.81,6,Deccan,588,33.2,"12,6",24
IND,India,2014,91,"",46,8.75,5,Deccan,633,34.9,"14,3",20.1
IND,India,2019,35,"",55,16.67,5,Deccan,780,26.2,"4,6",13
IND,India,2011,48,"",42,14.06,2,Deccan,1007,33.7,"5,4",19.9
IND,India,2016,12,"",81,16.08,0,Deccan,1123,30.4,"8,5",19.4
IND,India,2015,71,"",71,7.69,3,Deccan,612,37.1,"8,8",22.1
IND,India,2012,39,"",62,34.18,0,Ganges,1132,19.7,"1,2",9.2
IND,India,2011,82,"",67,12.47,4,Ganges,1028,30.5,"10,1",22.9
IND,India,2020,69,"",47,14.53,1,Ganges,1025,31.2,"11,6",19.6
IND,India,2013,24,"",72,17.54,1,Ganges,1143,27.1,"3,7",18.1
IND,India,2015,81,"",50,26.03,1,Ganges,1012,19.5,"4,8",10.8
IND,India,2014,67,"",73,20.98,4,Ganges,982,24,"6,5",13
IND,India,2011,3,"",50,30.97,1,Punjab,1561,22.7,"'-0,2",14
IND,India,2015,25,"",76,7.45,3,Punjab,617,32.8,"10,5",23
IND,India,2014,60,"",70,11.35,4,Punjab,993,37.4,"19,3",24.3
IND,India,2017,113,"",76,10.67,6,Punjab,553,26.1,"4,2",14.4
IND,India,2016,13,"",79,17.06,3,Punjab,786,25,5,12.8
IND,India,2018,12,granizo,61,13.44,1,Deccan,948,30.3,"14,4",19.6
IND,India,2016,49,granizo,58,15.53,0,Ganges,1146,35.1,6,20.5
IND,India,2018,18,granizo,40,26.95,0,Punjab,1310,26.4,"'-1,3",13.5
IND,India,2018,18,helada_tardia,40,26.95,0,Punjab,1310,26.4,"'-1,3",13.5
IND,India,2020,103,helada_tardia,61,9.23,5,Punjab,568,32.1,"10,2",17.1
IND,India,2019,51,helada_tardia,76,18.54,1,Punjab,1248,30,"5,5",18.7
IND,India,2012,76,incendios,78,7.1,7,Deccan,588,29,8,23
IND,India,2019,51,incendios,76,18.54,1,Punjab,1248,30,"5,5",18.7
IND,India,2020,94,inundacion,60,7.15,10,Deccan,427,29.3,"6,1",16.6
IND,India,2016,49,inundacion,58,15.53,0,Ganges,1146,35.1,6,20.5
IND,India,2018,75,inundacion,65,15.74,3,Ganges,1116,32.6,"8,2",19.7
IND,India,2012,76,ola_calor,78,7.1,7,Deccan,588,29,8,23
IND,India,2019,1,sequia_extrema,60,36.93,1,Ganges,1542,21,"'-0,1",11.6
IND,India,2016,49,sequia_extrema,58,15.53,0,Ganges,1146,35.1,6,20.5
IND,India,2018,75,sequia_extrema,65,15.74,3,Ganges,1116,32.6,"8,2",19.7
IND,India,2018,12,sequia_moderada,61,13.44,1,Deccan,948,30.3,"14,4",19.6
IND,India,2017,118,sequia_moderada,53,16.27,2,Ganges,1447,36.8,13,24.7
IND,India,2018,18,sequia_moderada,40,26.95,0,Punjab,1310,26.4,"'-1,3",13.5
IND,India,2013,14,sequia_moderada,44,16.95,2,Punjab,1031,30.9,11,16.9
IND,India,2012,116,sequia_moderada,49,12.11,5,Punjab,776,23.1,"8,1",17.8
IND,India,2012,76,sequia_severa,78,7.1,7,Deccan,588,29,8,23
IND,India,2019,1,sequia_severa,60,36.93,1,Ganges,1542,21,"'-0,1",11.6
IND,India,2017,118,sequia_severa,53,16.27,2,Ganges,1447,36.8,13,24.7
IND,India,2020,103,tormenta_severa,61,9.23,5,Punjab,568,32.1,"10,2",17.1
IND,India,2012,116,tormenta_severa,49,12.11,5,Punjab,776,23.1,"8,1",17.8
KEN,Kenia,2018,97,"",59,6.13,11,Región Principal,430,32.6,"10,8",19.5
KEN,Kenia,2013,22,"",45,10.91,0,Región Principal,939,33.3,"13,8",23.9
KEN,Kenia,2015,67,"",55,22.82,1,Región Principal,1257,24.6,"2,1",15.3
KEN,Kenia,2011,11,"",51,13.38,1,Región Principal,1055,36.1,"7,6",21.9
KEN,Kenia,2020,111,"",64,11.84,0,Región Principal,938,35.7,"9,1",22
KEN,Kenia,2012,90,granizo,52,5.93,11,Región Principal,440,30.9,"10,8",20.6
KEN,Kenia,2019,59,granizo,65,13.06,3,Región Principal,851,26.3,"5,1",18.1
KEN,Kenia,2017,77,helada_tardia,83,5.17,12,Región Principal,430,37.3,"14,5",23.1
KEN,Kenia,2019,59,helada_tardia,65,13.06,3,Región Principal,851,26.3,"5,1",18.1
KEN,Kenia,2019,59,inundacion,65,13.06,3,Región Principal,851,26.3,"5,1",18.1
KEN,Kenia,2017,77,ola_calor,83,5.17,12,Región Principal,430,37.3,"14,5",23.1
KEN,Kenia,2012,90,sequia_extrema,52,5.93,11,Región Principal,440,30.9,"10,8",20.6
KEN,Kenia,2016,96,sequia_severa,79,32.42,3,Región Principal,1249,19.1,"'-1,6",10.7
KEN,Kenia,2012,90,sequia_severa,52,5.93,11,Región Principal,440,30.9,"10,8",20.6
KEN,Kenia,2017,77,sequia_severa,83,5.17,12,Región Principal,430,37.3,"14,5",23.1
KEN,Kenia,2014,20,sequia_severa,54,6.85,4,Región Principal,634,32.6,"17,5",25.7
MEX,México,2020,80,"",69,9.88,10,Región Principal,427,17.7,"1,2",12
MEX,México,2018,110,"",60,9.23,11,Región Principal,442,19.1,"1,6",13.3
MEX,México,2017,92,"",62,18.06,3,Región Principal,1274,28.7,"11,2",19.6
MEX,México,2014,33,"",59,17.58,1,Región Principal,1196,24.4,"11,5",18.9
MEX,México,2016,88,"",42,18.69,1,Región Principal,1453,35.6,"12,8",21.6
MEX,México,2012,25,"",82,9.59,3,Región Principal,549,30.8,3,15.9
MEX,México,2015,16,"",42,16.25,3,Región Principal,901,27,"7,1",15.4
MEX,México,2011,113,"",45,13.4,7,Región Principal,796,24.9,"8,1",16.5
MEX,México,2013,24,incendios,56,8.93,4,Región Principal,807,34.3,"18,4",25.1
MEX,México,2013,24,ola_calor,56,8.93,4,Región Principal,807,34.3,"18,4",25.1
MEX,México,2019,99,sequia_extrema,55,7.3,8,Región Principal,489,24.2,"7,9",18.6
MEX,México,2013,24,sequia_moderada,56,8.93,4,Región Principal,807,34.3,"18,4",25.1
USA,Estados Unidos,2018,2,"",70,8.89,3,California,755,35.1,"10,5",23.6
USA,Estados Unidos,2016,61,"",63,16.69,1,California,1424,38.6,"10,7",23.7
USA,Estados Unidos,2014,26,"",52,10.25,3,California,823,27.8,"12,9",22.3
USA,Estados Unidos,2015,15,"",53,16.3,4,California,1197,32.6,"14,2",20.4
USA,Estados Unidos,2011,12,"",51,18.1,1,California,1531,36.2,"16,4",23.5
USA,Estados Unidos,2012,84,"",54,27.68,0,California,1136,19.7,"3,2",11.4
USA,Estados Unidos,2013,15,"",68,12.96,4,California,602,25.6,"7,6",12.9
USA,Estados Unidos,2017,39,"",63,7.06,9,California,348,28.3,"7,7",13.7
USA,Estados Unidos,2020,53,"",50,4.91,8,California,306,26,"8,2",17.3
USA,Estados Unidos,2013,39,"",53,36.54,1,Corn Belt,1434,23.7,"'-1,7",10.9
USA,Estados Unidos,2012,38,"",83,12.39,1,Corn Belt,1053,30.4,11,23.6
USA,Estados Unidos,4036,195,"",141,28.5,5,Corn Belt,2045,52,"11,9",40.3
USA,Estados Unidos,2016,106,"",62,19.08,2,Corn Belt,1449,29.8,13,21.1
USA,Estados Unidos,2015,76,"",81,15.62,5,Corn Belt,669,26.5,"'-2,9",11.9
USA,Estados Unidos,2014,20,"",60,9.08,7,Corn Belt,575,24.7,"5,9",17.6
USA,Estados Unidos,2017,104,"",67,19.55,1,Great Plains,943,25.9,"0,7",13.4
USA,Estados Unidos,2020,98,"",52,15.79,5,Great Plains,722,23,"1,2",12.7
USA,Estados Unidos,2014,17,"",41,9.72,5,Great Plains,504,22,"1,9",14.4
USA,Estados Unidos,2013,23,"",53,18.51,2,Great Plains,1473,36.2,"12,6",22.1
USA,Estados Unidos,2018,67,"",69,16.72,0,Great Plains,921,22.1,"4,5",15.3
USA,Estados Unidos,2016,68,"",47,16.22,0,Great Plains,1285,32.7,"7,3",22
USA,Estados Unidos,2019,1,"",41,16.5,2,Great Plains,1372,28.2,"9,8",23.1
USA,Estados Unidos,2018,41,granizo,64,23.29,2,Corn Belt,956,16.6,"2,1",11.4
USA,Estados Unidos,2020,12,granizo,43,22.5,2,Corn Belt,1385,32,"6,2",17.1
USA,Estados Unidos,2011,96,helada_tardia,47,23.45,4,Corn Belt,1072,22.7,"1,4",12.7
USA,Estados Unidos,2015,111,helada_tardia,72,19.03,7,Great Plains,788,20.9,"6,2",11.5
USA,Estados Unidos,2020,12,incendios,43,22.5,2,Corn Belt,1385,32,"6,2",17.1
USA,Estados Unidos,2012,98,incendios,48,13.4,7,Great Plains,550,24.6,"'-0,5",11.4
USA,Estados Unidos,2011,96,inundacion,47,23.45,4,Corn Belt,1072,22.7,"1,4",12.7
USA,Estados Unidos,2018,41,ola_calor,64,23.29,2,Corn Belt,956,16.6,"2,1",11.4
USA,Estados Unidos,2012,98,ola_calor,48,13.4,7,Great Plains,550,24.6,"'-0,5",11.4
USA,Estados Unidos,2019,88,sequia_extrema,48,6.58,7,California,585,29.8,"14,5",24.7
USA,Estados Unidos,2011,96,sequia_extrema,47,23.45,4,Corn Belt,1072,22.7,"1,4",12.7
USA,Estados Unidos,2011,111,sequia_extrema,49,17.5,5,Great Plains,693,25.8,"'-1,3",11
USA,Estados Unidos,2015,111,sequia_moderada,72,19.03,7,Great Plains,788,20.9,"6,2",11.5
USA,Estados Unidos,2020,12,sequia_severa,43,22.5,2,Corn Belt,1385,32,"6,2",17.1
USA,Estados Unidos,2011,111,sequia_severa,49,17.5,5,Great Plains,693,25.8,"'-1,3",11
USA,Estados Unidos,2018,41,tormenta_severa,64,23.29,2,Corn Belt,956,16.6,"2,1",11.4
USA,Estados Unidos,2012,98,tormenta_severa,48,13.4,7,Great Plains,550,24.6,"'-0,5",11.4
USA,Estados Unidos,2015,111,tormenta_severa,72,19.03,7,Great Plains,788,20.9,"6,2",11.5
