nombre,codigo,acuerdo_internacional_firmado,acuerdo_internacional_nombre,regulacion_anio_implementacion,regulacion_tipo,regulacion_vigente,subsidio_anio,subsidio_beneficiarios,subsidio_descripcion,subsidio_moneda,subsidio_monto,subsidio_tipo
Argentina,ARG,false,Convenio_Biodiversidad,2010,pesticidas_neonicotinoides,true,2019,7215,Subsidio para investigacion desarrollo,USD,15562206,investigacion_desarrollo
Argentina,ARG,false,Convenio_Biodiversidad,2010,pesticidas_neonicotinoides,true,2021,1914,Subsidio para maquinaria,USD,25542386,maquinaria
Argentina,ARG,false,Convenio_Biodiversidad,2012,uso_agua,false,2023,10898,Subsidio para expansion frontera agricola,USD,12595066,expansion_frontera_agricola
Argentina,ARG,false,Convenio_Biodiversidad,2012,uso_agua,false,2021,10823,Subsidio para fertilizantes,USD,32694726,fertilizantes
Argentina,ARG,false,Convenio_Biodiversidad,2012,uso_agua,false,2019,7215,Subsidio para investigacion desarrollo,USD,15562206,investigacion_desarrollo
Argentina,ARG,false,Convenio_Biodiversidad,2012,uso_agua,false,2021,1914,Subsidio para maquinaria,USD,25542386,maquinaria
Brasil,BRA,false,Convenio_Biodiversidad,2018,deforestacion,true,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,false,Convenio_Biodiversidad,2018,deforestacion,true,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,false,Convenio_Biodiversidad,2018,deforestacion,true,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
Brasil,BRA,false,Convenio_Biodiversidad,2015,etanol_mezcla,true,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,false,Convenio_Biodiversidad,2015,etanol_mezcla,true,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,false,Convenio_Biodiversidad,2015,etanol_mezcla,true,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
Brasil,BRA,false,Convenio_Biodiversidad,2017,reservas_legales,false,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,false,Convenio_Biodiversidad,2017,reservas_legales,false,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,false,Convenio_Biodiversidad,2017,reservas_legales,false,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
Francia,FRA,false,Convenio_Biodiversidad,2011,rotacion_cultivos,false,2020,25642,Subsidio para agricultura organica,EUR,17658196,agricultura_organica
Francia,FRA,false,Convenio_Biodiversidad,2011,rotacion_cultivos,false,2019,20405,Subsidio para conservacion suelos,EUR,10667676,conservacion_suelos
Francia,FRA,false,Convenio_Biodiversidad,2011,rotacion_cultivos,false,2023,20541,Subsidio para expansion frontera agricola,EUR,1732427,expansion_frontera_agricola
Francia,FRA,false,Convenio_Biodiversidad,2011,rotacion_cultivos,false,2023,35308,Subsidio para fertilizantes,EUR,14082408,fertilizantes
Francia,FRA,false,Convenio_Biodiversidad,2017,uso_agua,true,2020,25642,Subsidio para agricultura organica,EUR,17658196,agricultura_organica
Francia,FRA,false,Convenio_Biodiversidad,2017,uso_agua,true,2019,20405,Subsidio para conservacion suelos,EUR,10667676,conservacion_suelos
Francia,FRA,false,Convenio_Biodiversidad,2017,uso_agua,true,2023,20541,Subsidio para expansion frontera agricola,EUR,1732427,expansion_frontera_agricola
Francia,FRA,false,Convenio_Biodiversidad,2017,uso_agua,true,2023,35308,Subsidio para fertilizantes,EUR,14082408,fertilizantes
India,IND,false,Convenio_Biodiversidad,6057,bienestar_animal,true,6059,94414,Subsidio para investigacion desarrollo,USD,68538599,investigacion_desarrollo
India,IND,false,Convenio_Biodiversidad,6054,pesticidas_neonicotinoides,true,6059,94414,Subsidio para investigacion desarrollo,USD,68538599,investigacion_desarrollo
Alemania,DEU,false,TLCAN,2016,deforestacion,false,2019,40750,Subsidio para conservacion suelos,EUR,48398771,conservacion_suelos
Alemania,DEU,false,TLCAN,2016,deforestacion,false,2020,39435,Subsidio para credito rural,EUR,11932107,credito_rural
Alemania,DEU,false,TLCAN,2016,deforestacion,false,2020,9120,Subsidio para maquinaria,EUR,2137912,maquinaria
Alemania,DEU,false,TLCAN,2015,pesticidas_neonicotinoides,false,2019,40750,Subsidio para conservacion suelos,EUR,48398771,conservacion_suelos
Alemania,DEU,false,TLCAN,2015,pesticidas_neonicotinoides,false,2020,39435,Subsidio para credito rural,EUR,11932107,credito_rural
Alemania,DEU,false,TLCAN,2015,pesticidas_neonicotinoides,false,2020,9120,Subsidio para maquinaria,EUR,2137912,maquinaria
Nueva Zelanda,NZL,false,TLCAN,2012,emisiones_ganaderas,false,2019,14944,Subsidio para agricultura organica,USD,27654398,agricultura_organica
Nueva Zelanda,NZL,false,TLCAN,2012,emisiones_ganaderas,false,2020,37455,Subsidio para investigacion desarrollo,USD,18827249,investigacion_desarrollo
Nueva Zelanda,NZL,false,TLCAN,2012,emisiones_ganaderas,false,2022,42135,Subsidio para maquinaria,USD,1493246,maquinaria
Nueva Zelanda,NZL,false,TLCAN,2016,pesticidas_neonicotinoides,false,2019,14944,Subsidio para agricultura organica,USD,27654398,agricultura_organica
Nueva Zelanda,NZL,false,TLCAN,2016,pesticidas_neonicotinoides,false,2020,37455,Subsidio para investigacion desarrollo,USD,18827249,investigacion_desarrollo
Nueva Zelanda,NZL,false,TLCAN,2016,pesticidas_neonicotinoides,false,2022,42135,Subsidio para maquinaria,USD,1493246,maquinaria
Nueva Zelanda,NZL,false,TLCAN,2015,reservas_legales,false,2019,14944,Subsidio para agricultura organica,USD,27654398,agricultura_organica
Nueva Zelanda,NZL,false,TLCAN,2015,reservas_legales,false,2020,37455,Subsidio para investigacion desarrollo,USD,18827249,investigacion_desarrollo
Nueva Zelanda,NZL,false,TLCAN,2015,reservas_legales,false,2022,42135,Subsidio para maquinaria,USD,1493246,maquinaria
Brasil,BRA,true,Acuerdo_Mercosur,2018,deforestacion,true,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,true,Acuerdo_Mercosur,2018,deforestacion,true,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,true,Acuerdo_Mercosur,2018,deforestacion,true,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
Brasil,BRA,true,Acuerdo_Mercosur,2015,etanol_mezcla,true,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,true,Acuerdo_Mercosur,2015,etanol_mezcla,true,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,true,Acuerdo_Mercosur,2015,etanol_mezcla,true,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
Brasil,BRA,true,Acuerdo_Mercosur,2017,reservas_legales,false,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,true,Acuerdo_Mercosur,2017,reservas_legales,false,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,true,Acuerdo_Mercosur,2017,reservas_legales,false,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
China,CHN,true,Acuerdo_Mercosur,2020,emisiones_ganaderas,true,2018,17160,Subsidio para bioenergia,USD,32792618,bioenergia
China,CHN,true,Acuerdo_Mercosur,4040,emisiones_ganaderas,true,4043,32821,Subsidio para seguro agricola,USD,49980209,seguro_agricola
China,CHN,true,Acuerdo_Mercosur,2015,pesticidas_neonicotinoides,false,2018,17160,Subsidio para bioenergia,USD,32792618,bioenergia
China,CHN,true,Acuerdo_Mercosur,4030,pesticidas_neonicotinoides,false,4043,32821,Subsidio para seguro agricola,USD,49980209,seguro_agricola
China,CHN,true,Acuerdo_Mercosur,2014,uso_agua,true,2018,17160,Subsidio para bioenergia,USD,32792618,bioenergia
China,CHN,true,Acuerdo_Mercosur,4028,uso_agua,true,4043,32821,Subsidio para seguro agricola,USD,49980209,seguro_agricola
India,IND,true,Acuerdo_Mercosur,6057,bienestar_animal,true,6059,94414,Subsidio para investigacion desarrollo,USD,68538599,investigacion_desarrollo
India,IND,true,Acuerdo_Mercosur,6054,pesticidas_neonicotinoides,true,6059,94414,Subsidio para investigacion desarrollo,USD,68538599,investigacion_desarrollo
Estados Unidos,USA,true,Acuerdo_Mercosur,2015,pesticidas_neonicotinoides,true,2023,25219,Subsidio para bioenergia,USD,9598894,bioenergia
Estados Unidos,USA,true,Acuerdo_Mercosur,2015,pesticidas_neonicotinoides,true,2020,17129,Subsidio para credito rural,USD,28984435,credito_rural
Estados Unidos,USA,true,Acuerdo_Mercosur,2015,pesticidas_neonicotinoides,true,2021,2160,Subsidio para investigacion desarrollo,USD,5236246,investigacion_desarrollo
Estados Unidos,USA,true,Acuerdo_Mercosur,2018,uso_agua,false,2023,25219,Subsidio para bioenergia,USD,9598894,bioenergia
Estados Unidos,USA,true,Acuerdo_Mercosur,2018,uso_agua,false,2020,17129,Subsidio para credito rural,USD,28984435,credito_rural
Estados Unidos,USA,true,Acuerdo_Mercosur,2018,uso_agua,false,2021,2160,Subsidio para investigacion desarrollo,USD,5236246,investigacion_desarrollo
México,MEX,true,Acuerdo_Paris,2013,etanol_mezcla,true,2018,28286,Subsidio para agricultura organica,USD,36210634,agricultura_organica
México,MEX,true,Acuerdo_Paris,2013,etanol_mezcla,true,2023,36920,Subsidio para expansion frontera agricola,USD,11400800,expansion_frontera_agricola
México,MEX,true,Acuerdo_Paris,2013,etanol_mezcla,true,2019,11424,Subsidio para riego,USD,31098201,riego
México,MEX,true,Acuerdo_Paris,2010,rotacion_cultivos,true,2018,28286,Subsidio para agricultura organica,USD,36210634,agricultura_organica
México,MEX,true,Acuerdo_Paris,2010,rotacion_cultivos,true,2023,36920,Subsidio para expansion frontera agricola,USD,11400800,expansion_frontera_agricola
México,MEX,true,Acuerdo_Paris,2010,rotacion_cultivos,true,2019,11424,Subsidio para riego,USD,31098201,riego
Australia,AUS,true,Convenio_Biodiversidad,2018,deforestacion,true,2023,47770,Subsidio para fertilizantes,USD,49135190,fertilizantes
Australia,AUS,true,Convenio_Biodiversidad,2018,deforestacion,true,2022,34535,Subsidio para investigacion desarrollo,USD,3642845,investigacion_desarrollo
Australia,AUS,true,Convenio_Biodiversidad,2018,deforestacion,true,2021,5449,Subsidio para maquinaria,USD,5286773,maquinaria
Australia,AUS,true,Convenio_Biodiversidad,2015,reservas_legales,true,2023,47770,Subsidio para fertilizantes,USD,49135190,fertilizantes
Australia,AUS,true,Convenio_Biodiversidad,2015,reservas_legales,true,2022,34535,Subsidio para investigacion desarrollo,USD,3642845,investigacion_desarrollo
Australia,AUS,true,Convenio_Biodiversidad,2015,reservas_legales,true,2021,5449,Subsidio para maquinaria,USD,5286773,maquinaria
Alemania,DEU,true,Convenio_Biodiversidad,2016,deforestacion,false,2019,40750,Subsidio para conservacion suelos,EUR,48398771,conservacion_suelos
Alemania,DEU,true,Convenio_Biodiversidad,2016,deforestacion,false,2020,39435,Subsidio para credito rural,EUR,11932107,credito_rural
Alemania,DEU,true,Convenio_Biodiversidad,2016,deforestacion,false,2020,9120,Subsidio para maquinaria,EUR,2137912,maquinaria
Alemania,DEU,true,Convenio_Biodiversidad,2015,pesticidas_neonicotinoides,false,2019,40750,Subsidio para conservacion suelos,EUR,48398771,conservacion_suelos
Alemania,DEU,true,Convenio_Biodiversidad,2015,pesticidas_neonicotinoides,false,2020,39435,Subsidio para credito rural,EUR,11932107,credito_rural
Alemania,DEU,true,Convenio_Biodiversidad,2015,pesticidas_neonicotinoides,false,2020,9120,Subsidio para maquinaria,EUR,2137912,maquinaria
Francia,FRA,true,ODS_2030,2011,rotacion_cultivos,false,2020,25642,Subsidio para agricultura organica,EUR,17658196,agricultura_organica
Francia,FRA,true,ODS_2030,2011,rotacion_cultivos,false,2019,20405,Subsidio para conservacion suelos,EUR,10667676,conservacion_suelos
Francia,FRA,true,ODS_2030,2011,rotacion_cultivos,false,2023,20541,Subsidio para expansion frontera agricola,EUR,1732427,expansion_frontera_agricola
Francia,FRA,true,ODS_2030,2011,rotacion_cultivos,false,2023,35308,Subsidio para fertilizantes,EUR,14082408,fertilizantes
Francia,FRA,true,ODS_2030,2017,uso_agua,true,2020,25642,Subsidio para agricultura organica,EUR,17658196,agricultura_organica
Francia,FRA,true,ODS_2030,2017,uso_agua,true,2019,20405,Subsidio para conservacion suelos,EUR,10667676,conservacion_suelos
Francia,FRA,true,ODS_2030,2017,uso_agua,true,2023,20541,Subsidio para expansion frontera agricola,EUR,1732427,expansion_frontera_agricola
Francia,FRA,true,ODS_2030,2017,uso_agua,true,2023,35308,Subsidio para fertilizantes,EUR,14082408,fertilizantes
Brasil,BRA,true,Protocolo_Kyoto,2018,deforestacion,true,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,true,Protocolo_Kyoto,2018,deforestacion,true,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,true,Protocolo_Kyoto,2018,deforestacion,true,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
Brasil,BRA,true,Protocolo_Kyoto,2015,etanol_mezcla,true,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,true,Protocolo_Kyoto,2015,etanol_mezcla,true,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,true,Protocolo_Kyoto,2015,etanol_mezcla,true,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
Brasil,BRA,true,Protocolo_Kyoto,2017,reservas_legales,false,2023,40833,Subsidio para bioenergia,USD,32990812,bioenergia
Brasil,BRA,true,Protocolo_Kyoto,2017,reservas_legales,false,2019,44633,Subsidio para expansion frontera agricola,USD,33704977,expansion_frontera_agricola
Brasil,BRA,true,Protocolo_Kyoto,2017,reservas_legales,false,2020,5384,Subsidio para fertilizantes,USD,8114311,fertilizantes
Alemania,DEU,true,Protocolo_Kyoto,2016,deforestacion,false,2019,40750,Subsidio para conservacion suelos,EUR,48398771,conservacion_suelos
Alemania,DEU,true,Protocolo_Kyoto,2016,deforestacion,false,2020,39435,Subsidio para credito rural,EUR,11932107,credito_rural
Alemania,DEU,true,Protocolo_Kyoto,2016,deforestacion,false,2020,9120,Subsidio para maquinaria,EUR,2137912,maquinaria
Alemania,DEU,true,Protocolo_Kyoto,2015,pesticidas_neonicotinoides,false,2019,40750,Subsidio para conservacion suelos,EUR,48398771,conservacion_suelos
Alemania,DEU,true,Protocolo_Kyoto,2015,pesticidas_neonicotinoides,false,2020,39435,Subsidio para credito rural,EUR,11932107,credito_rural
Alemania,DEU,true,Protocolo_Kyoto,2015,pesticidas_neonicotinoides,false,2020,9120,Subsidio para maquinaria,EUR,2137912,maquinaria
Kenia,KEN,true,Protocolo_Kyoto,2019,reservas_legales,true,2020,26396,Subsidio para agricultura organica,USD,22672824,agricultura_organica
Kenia,KEN,true,Protocolo_Kyoto,2019,reservas_legales,true,2018,19981,Subsidio para expansion frontera agricola,USD,35242092,expansion_frontera_agricola
Kenia,KEN,true,Protocolo_Kyoto,2018,rotacion_cultivos,false,2020,26396,Subsidio para agricultura organica,USD,22672824,agricultura_organica
Kenia,KEN,true,Protocolo_Kyoto,2018,rotacion_cultivos,false,2018,19981,Subsidio para expansion frontera agricola,USD,35242092,expansion_frontera_agricola
Kenia,KEN,true,Protocolo_Kyoto,2019,rotacion_cultivos,true,2020,26396,Subsidio para agricultura organica,USD,22672824,agricultura_organica
Kenia,KEN,true,Protocolo_Kyoto,2019,rotacion_cultivos,true,2018,19981,Subsidio para expansion frontera agricola,USD,35242092,expansion_frontera_agricola
Estados Unidos,USA,true,Protocolo_Kyoto,2015,pesticidas_neonicotinoides,true,2023,25219,Subsidio para bioenergia,USD,9598894,bioenergia
Estados Unidos,USA,true,Protocolo_Kyoto,2015,pesticidas_neonicotinoides,true,2020,17129,Subsidio para credito rural,USD,28984435,credito_rural
Estados Unidos,USA,true,Protocolo_Kyoto,2015,pesticidas_neonicotinoides,true,2021,2160,Subsidio para investigacion desarrollo,USD,5236246,investigacion_desarrollo
Estados Unidos,USA,true,Protocolo_Kyoto,2018,uso_agua,false,2023,25219,Subsidio para bioenergia,USD,9598894,bioenergia
Estados Unidos,USA,true,Protocolo_Kyoto,2018,uso_agua,false,2020,17129,Subsidio para credito rural,USD,28984435,credito_rural
Estados Unidos,USA,true,Protocolo_Kyoto,2018,uso_agua,false,2021,2160,Subsidio para investigacion desarrollo,USD,5236246,investigacion_desarrollo
España,ESP,true,TLCAN,2017,etanol_mezcla,false,2021,13113,Subsidio para agricultura organica,EUR,14729806,agricultura_organica
España,ESP,true,TLCAN,2017,etanol_mezcla,false,2021,43690,Subsidio para fertilizantes,EUR,41491331,fertilizantes
España,ESP,true,TLCAN,2017,etanol_mezcla,false,2018,7994,Subsidio para riego,EUR,27001467,riego
España,ESP,true,TLCAN,2020,reservas_legales,false,2021,13113,Subsidio para agricultura organica,EUR,14729806,agricultura_organica
España,ESP,true,TLCAN,2020,reservas_legales,false,2021,43690,Subsidio para fertilizantes,EUR,41491331,fertilizantes
España,ESP,true,TLCAN,2020,reservas_legales,false,2018,7994,Subsidio para riego,EUR,27001467,riego
México,MEX,true,TLCAN,2013,etanol_mezcla,true,2018,28286,Subsidio para agricultura organica,USD,36210634,agricultura_organica
México,MEX,true,TLCAN,2013,etanol_mezcla,true,2023,36920,Subsidio para expansion frontera agricola,USD,11400800,expansion_frontera_agricola
México,MEX,true,TLCAN,2013,etanol_mezcla,true,2019,11424,Subsidio para riego,USD,31098201,riego
México,MEX,true,TLCAN,2010,rotacion_cultivos,true,2018,28286,Subsidio para agricultura organica,USD,36210634,agricultura_organica
México,MEX,true,TLCAN,2010,rotacion_cultivos,true,2023,36920,Subsidio para expansion frontera agricola,USD,11400800,expansion_frontera_agricola
México,MEX,true,TLCAN,2010,rotacion_cultivos,true,2019,11424,Subsidio para riego,USD,31098201,riego
